,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2016-08-01/2016-08-07,822,2016-08-01,2016-08-07,5239,4,6,0,0,0,0,0,0
2016-08-08/2016-08-14,823,2016-08-08,2016-08-14,5238,3,4,0,0,0,0,0,0
2016-08-15/2016-08-21,824,2016-08-15,2016-08-21,5239,2,1,0,0,0,0,0,0
2016-08-22/2016-08-28,825,2016-08-22,2016-08-28,5235,2,6,0,0,0,0,0,0
2016-08-29/2016-09-04,826,2016-08-29,2016-09-04,5232,1,4,0,0,0,0,0,0
2016-09-05/2016-09-11,827,2016-09-05,2016-09-11,5233,2,1,0,0,0,0,0,0
2016-09-12/2016-09-18,828,2016-09-12,2016-09-18,5232,1,2,0,0,0,0,0,0
2016-09-19/2016-09-25,829,2016-09-19,2016-09-25,5228,4,8,0,0,0,0,0,0
2016-09-26/2016-10-02,830,2016-09-26,2016-10-02,5217,4,15,0,0,0,0,0,0
2016-10-03/2016-10-09,831,2016-10-03,2016-10-09,5216,1,2,0,0,0,0,0,0
2016-10-10/2016-10-16,832,2016-10-10,2016-10-16,5207,2,11,0,0,0,0,0,0
2016-10-17/2016-10-23,833,2016-10-17,2016-10-23,5194,2,15,0,0,0,0,0,0
2016-10-24/2016-10-30,834,2016-10-24,2016-10-30,5176,3,21,0,0,0,0,0,0
2016-10-31/2016-11-06,835,2016-10-31,2016-11-06,5153,2,25,0,0,0,0,0,0
2016-11-07/2016-11-13,836,2016-11-07,2016-11-13,5147,0,6,0,0,0,0,0,0
2016-11-14/2016-11-20,837,2016-11-14,2016-11-20,5148,2,1,0,0,0,0,0,0
2016-11-21/2016-11-27,838,2016-11-21,2016-11-27,5144,2,6,0,0,0,0,0,0
2016-11-28/2016-12-04,839,2016-11-28,2016-12-04,5148,6,2,0,0,0,0,0,0
2016-12-05/2016-12-11,840,2016-12-05,2016-12-11,5150,5,3,0,0,0,0,0,0
2016-12-12/2016-12-18,841,2016-12-12,2016-12-18,5150,2,2,0,0,0,0,0,0
2016-12-19/2016-12-25,842,2016-12-19,2016-12-25,5149,2,3,0,0,0,0,0,0
2016-12-26/2017-01-01,843,2016-12-26,2017-01-01,5145,0,4,0,0,0,0,0,0
