,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2016-10-17/2016-10-23,834,2016-10-17,2016-10-23,2647,3,3,0,0,0,0,0,0
2016-10-24/2016-10-30,835,2016-10-24,2016-10-30,2640,3,10,0,0,0,0,0,0
2016-10-31/2016-11-06,836,2016-10-31,2016-11-06,2637,1,4,0,0,0,0,0,0
2016-11-07/2016-11-13,837,2016-11-07,2016-11-13,2634,4,7,0,0,0,0,0,0
2016-11-14/2016-11-20,838,2016-11-14,2016-11-20,2634,2,2,0,0,0,0,0,0
2016-11-21/2016-11-27,839,2016-11-21,2016-11-27,2632,0,2,0,0,0,0,0,0
2016-11-28/2016-12-04,840,2016-11-28,2016-12-04,2631,1,2,0,0,0,0,0,0
2016-12-05/2016-12-11,841,2016-12-05,2016-12-11,2632,3,2,0,0,0,0,0,0
2016-12-12/2016-12-18,842,2016-12-12,2016-12-18,2629,2,5,0,0,0,0,0,0
2016-12-19/2016-12-25,843,2016-12-19,2016-12-25,2628,1,2,0,0,0,0,0,0
2016-12-26/2017-01-01,844,2016-12-26,2017-01-01,2624,5,9,0,0,0,0,0,0
2017-01-02/2017-01-08,845,2017-01-02,2017-01-08,2623,3,4,0,0,0,0,0,0
2017-01-09/2017-01-15,846,2017-01-09,2017-01-15,2621,1,3,0,0,0,0,0,0
2017-01-16/2017-01-22,847,2017-01-16,2017-01-22,2623,2,0,0,0,0,0,0,0
2017-01-23/2017-01-29,848,2017-01-23,2017-01-29,2622,1,2,0,0,0,0,0,0
2017-01-30/2017-02-05,849,2017-01-30,2017-02-05,2624,4,2,0,0,0,0,0,0
2017-02-06/2017-02-12,850,2017-02-06,2017-02-12,2622,0,2,0,0,0,0,0,0
2017-02-13/2017-02-19,851,2017-02-13,2017-02-19,2623,1,0,0,0,0,0,0,0
2017-02-20/2017-02-26,852,2017-02-20,2017-02-26,2624,2,1,0,0,0,0,0,0
2017-02-27/2017-03-05,853,2017-02-27,2017-03-05,2622,2,4,0,0,0,0,0,0
2017-03-06/2017-03-12,854,2017-03-06,2017-03-12,2621,1,2,0,0,0,0,0,0
2017-03-13/2017-03-19,855,2017-03-13,2017-03-19,2620,2,3,0,0,0,0,0,0
2017-03-20/2017-03-26,856,2017-03-20,2017-03-26,2619,0,1,0,0,0,0,0,0
2017-03-27/2017-04-02,857,2017-03-27,2017-04-02,2619,1,1,0,0,0,0,0,0
2017-04-03/2017-04-09,858,2017-04-03,2017-04-09,2618,1,2,0,0,0,0,0,0
2017-04-10/2017-04-16,859,2017-04-10,2017-04-16,2617,0,1,0,0,0,0,0,0
2017-04-17/2017-04-23,860,2017-04-17,2017-04-23,2617,0,0,0,0,0,0,0,0
2017-04-24/2017-04-30,861,2017-04-24,2017-04-30,2614,0,3,0,0,0,0,0,0
2017-05-01/2017-05-07,862,2017-05-01,2017-05-07,2609,0,5,0,0,0,0,0,0
2017-05-08/2017-05-14,863,2017-05-08,2017-05-14,2604,1,6,0,0,0,0,0,0
2017-05-15/2017-05-21,864,2017-05-15,2017-05-21,108,2,2498,0,0,0,0,0,0
2017-05-22/2017-05-28,865,2017-05-22,2017-05-28,107,0,1,0,0,0,0,0,0
2017-05-29/2017-06-04,866,2017-05-29,2017-06-04,106,3,4,0,0,0,0,0,0
